Name,Cannes 2026,Checked,Director,Link,Place,Year
Last Summer,No,Yes,Catherine Breillat,https://movie.douban.com/subject/35418779/,"Paris, France",2023
Brian and Charles,No,Yes,Jim Archer,https://movie.douban.com/subject/35694760/,"Welsh countryside, UK",2022
"Merry Christmas, Yiwu",No,Yes,Mladen Kovačević,https://movie.douban.com/subject/34931770/,"Yiwu, Zhejiang, China",2020
May December,No,Yes,Todd Haynes,https://movie.douban.com/subject/35295277/,"Savannah, Georgia, USA",2023
How Do You Measure a Year?,No,Yes,Jay Rosenblatt,https://movie.douban.com/subject/35539336/,"San Francisco, California, USA",2021
Once Upon a Time in Anatolia (Bir Zamanlar Anadolu'da),No,Yes,Nuri Bilge Ceylan,https://movie.douban.com/subject/5959260/,"Anatolia, Turkey",2011
Get Out,No,Yes,Jordan Peele,https://movie.douban.com/subject/26688480/,"Upstate New York, USA",2017
Perfect Days,No,Yes,Wim Wenders,https://movie.douban.com/subject/35902857/,"Tokyo, Japan",2023
Youth: Spring,No,Yes,Wang Bing,https://movie.douban.com/subject/27042464/,"Zhili, Huzhou, Zhejiang, China",2023
My Mother,No,Yes,Nanni Moretti,https://movie.douban.com/subject/24868251/,"Rome, Italy",2015
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,No,Yes,Larry Charles,https://movie.douban.com/subject/1870044/,Kazakhstan,2006
The Wedding Banquet,No,Yes,Ang Lee,https://movie.douban.com/subject/1303037/,"Manhattan, New York County, New York, United States",1993
Bitter Sweet Ballad,No,Yes,Liang Junjian,https://movie.douban.com/subject/36468120/,"Shanxi, China",2023
"The Bold, the Corrupt, and the Beautiful",No,Yes,Yang Ya-che,https://movie.douban.com/subject/27113517/,"Taipei, Taiwan",2017
Bacurau,No,Yes,"Kleber Mendonça Filho, Juliano Dornelles",https://movie.douban.com/subject/24389792/,"Pernambuco, Northeast Region, Brazil",2019
Futuro Beach (Praia do Futuro),No,Yes,Karim Aïnouz,https://movie.douban.com/subject/10521477/,"Fortaleza, Região Geográfica Imediata de Fortaleza, Ceará, Northeast Region, Brazil, Região Geográfica Intermediária de Fortaleza",2014
Harakiri (切腹),No,Yes,Masaki Kobayashi,https://movie.douban.com/subject/1304920/,"東京湾, Kawasaki Ward, Kawasaki, Kanagawa Prefecture, Japan",1962
